ID;In welchem Bereich arbeitest du hauptsächlich?;Wie groß ist dein Unternehmen?;In welcher Branche ist dein Unternehmen tätig?;Wie häufig nutzt du GenAI-Tools im beruflichen Umfeld?;Für welche Aufgaben setzt du GenAI hauptsächlich ein?;Welche GenAI Modelle/Tools nutzt du?;Wie schätzt du aktuell deine Kompetenz im Umgang mit GenAI ein?;Heute;In 1-3 Jahren;Wie sicher fühlst du dich bei der Einordnung der Ergebnisse von GenAI-Antworten?;Warum nutzt du keine GenAI-Tools?;In welchen Bereichen wünschst du dir Verbesserungen bei der persönlichen Nutzung von GenAI-Tools?;Bist du dir der Datenschutz-/Datensicherheitsregeln bezüglich der Nutzung von GenAI-Tools bewusst?;GenAI wird aktuell als Wachstumstreiber und als Effizienzhebel beschrieben. Wie denkst du wird sich GenAI primär in deinem Unternehmen auswirken?;In welchem Stadium befinden sich die Dir bekannten KI-Anwendungsfälle überwiegend;Was ist aktuell die größte Herausforderung beim unternehmensweiten Einsatz von (Gen)AI?;Welche Modellstrategie wird Deiner Einschätzung nach in den nächsten 5 Jahren dominieren?
11;Operations (DevOps, Platform Engineering, IT-Admin);Konzern (über 5000 Mitarbeiter);Dienstleistungen, IT & Beratung;Täglich;"Recherche und Wissensvermittlung;Bildgenerierung;Softwareentwicklung ;Bugfixing;";"OpenAI ChatGPT;Microsoft Copilot;";Ich nutze einfache Prompts, um mir grundlegende Aufgaben zu erleichtern.;Leichte Verbesserung;Leichte Verbesserung;Mir ist bewusst, dass KI-Ergebnisse ungenau, fehlerhaft oder biased sein können, ich überprüfe manche Antworten ohne KI Unterstützung.;;"Erzeugung von präziseren und treffsicheren Antworten;Fehlerrate der Modelle;Datensicherheit;";Ich kenne die gesetzlichen Rahmenbedingungen (z.B. DSGVO, EU-AI-Act) und achte konsequent auf deren Einhaltung.;Als Effizienzhebel (Kostensenkung, Prozessoptimierung);In Konzeption oder Entwicklung;Unklarer Business Case / ROI-Nachweis;Spezialisierte, kleinere Modelle für spezifische Aufgaben
12;Operations (DevOps, Platform Engineering, IT-Admin);Konzern (über 5000 Mitarbeiter);Energie & Versorgung;Wöchentlich;"Recherche und Wissensvermittlung;Softwareentwicklung ;Bugfixing;";"OpenAI ChatGPT;Microsoft Copilot;Google Gemini;";Ich nutze einfache Prompts, um mir grundlegende Aufgaben zu erleichtern.;Leichte Verbesserung;Deutliche Verbesserung;Mir ist bewusst, dass KI-Ergebnisse ungenau, fehlerhaft oder biased sein können, ich überprüfe manche Antworten ohne KI Unterstützung.;;"Kosten;Fehlerrate der Modelle;Erzeugung von präziseren und treffsicheren Antworten;Mehr Integration (Email, Terminkalender, Office Tools);";Ich bin mit den wichtigsten Regelungen vertraut und setze diese besten Gewissens um.;Als Effizienzhebel (Kostensenkung, Prozessoptimierung);In Konzeption oder Entwicklung;Mangel an qualifiziertem Personal und Know-how;Ein zentrales, universelles Modell für alle Anwendungsfälle
13;Sonstiges;Großes Unternehmen (251-5000 Mitarbeiter);Dienstleistungen, IT & Beratung;Wöchentlich;"Testfallerstellung;";"Microsoft Copilot;";Ich nutze erweiterte Funktionen (z.B. Automatisierungen, eigene Workflows), um meine Aufgaben zu lösen.;Leichte Verbesserung;Deutliche Verbesserung;Mir ist bewusst, dass KI-Ergebnisse ungenau, fehlerhaft oder biased sein können, ich überprüfe manche Antworten ohne KI Unterstützung.;;"Benutzbarkeit (UI/UX);";Grundlegende Richtlinien sind mir bekannt, aber ich wende sie nicht immer konsequent an.;Gleichermaßen beides;Prototyp vorhanden, weitere Entwicklung erforderlich;Unklare Governance und regulatorische Unsicherheit;Mehrere große Modelle in Kombination
14;Support & Service;Konzern (über 5000 Mitarbeiter);Dienstleistungen, IT & Beratung;Täglich;"Recherche und Wissensvermittlung;Texterstellung (Dokumentation, Berichte, Anforderungen);";"OpenAI ChatGPT;Microsoft Copilot;";Ich nutze einfache Prompts, um mir grundlegende Aufgaben zu erleichtern.;Leichte Verbesserung;Deutliche Verbesserung;Mir ist bewusst, dass KI-Ergebnisse ungenau, fehlerhaft oder biased sein können, ich überprüfe manche Antworten ohne KI Unterstützung.;;"Datensicherheit;Mehr Integration (Email, Terminkalender, Office Tools);Fehlerrate der Modelle;";Ich bin mit den wichtigsten Regelungen vertraut und setze diese besten Gewissens um.;Bisher weder noch erkennbar;In Konzeption oder Entwicklung;Integration in bestehende IT-Systeme;Hybridansatz aus großen und spezialisierten Modellen
15;Operations (DevOps, Platform Engineering, IT-Admin);Konzern (über 5000 Mitarbeiter);Dienstleistungen, IT & Beratung;Selten;"Recherche und Wissensvermittlung;Texterstellung (Dokumentation, Berichte, Anforderungen);Präsentationserstellung;";"OpenAI ChatGPT;Microsoft Copilot;";Ich nutze einfache Prompts, um mir grundlegende Aufgaben zu erleichtern.;Leichte Verbesserung;Deutliche Verbesserung;Mir ist bewusst, dass KI-Ergebnisse ungenau, fehlerhaft oder biased sein können, ich überprüfe manche Antworten ohne KI Unterstützung.;;"Benutzbarkeit (UI/UX);Erzeugung von präziseren und treffsicheren Antworten;Kontextmanagement (Projektdaten, persönliche Daten, Unternehmensdaten);";Ich kenne die gesetzlichen Rahmenbedingungen (z.B. DSGVO, EU-AI-Act) und achte konsequent auf deren Einhaltung.;Als Effizienzhebel (Kostensenkung, Prozessoptimierung);Prototyp vorhanden, weitere Entwicklung erforderlich;Integration in bestehende IT-Systeme;Kann ich nicht einschätzen
16;Entwicklung & Architektur (Software, Data Science, KI, Systemarchitektur);Großes Unternehmen (251-5000 Mitarbeiter);Dienstleistungen, IT & Beratung;Täglich;"Texterstellung (Dokumentation, Berichte, Anforderungen);Prozessautomatisierung;Softwareentwicklung ;";"OpenAI ChatGPT;Microsoft Copilot;";Ich nutze verschiedene Modelle und Prompting-Methoden und setze diese gezielt für bessere Ergebnisse ein.;Leichte Verbesserung;Keine Einschätzung möglich;Mir ist bewusst, dass KI-Ergebnisse ungenau, fehlerhaft oder biased sein können, ich überprüfe manche Antworten ohne KI Unterstützung.;;"Fehlerrate der Modelle;Erzeugung von präziseren und treffsicheren Antworten;Mehr Integration (Email, Terminkalender, Office Tools);Kontextmanagement (Projektdaten, persönliche Daten, Unternehmensdaten);";Ich bin mit den wichtigsten Regelungen vertraut und setze diese besten Gewissens um.;Als Effizienzhebel (Kostensenkung, Prozessoptimierung);Prototyp vorhanden, weitere Entwicklung erforderlich;Unklare Governance und regulatorische Unsicherheit;Hybridansatz aus großen und spezialisierten Modellen
17;Entwicklung & Architektur (Software, Data Science, KI, Systemarchitektur);Großes Unternehmen (251-5000 Mitarbeiter);Energie & Versorgung;Täglich;"Recherche und Wissensvermittlung;Softwareentwicklung ;Testfallerstellung;Bugfixing;Präsentationserstellung;Texterstellung (Dokumentation, Berichte, Anforderungen);";"OpenAI ChatGPT;Microsoft Copilot;Lokale OpenSource Modelle (z.B. Llama, DeepSeek, Gemma, Mistral, Phi, qwen o.a.);";Ich nutze verschiedene Modelle und Prompting-Methoden und setze diese gezielt für bessere Ergebnisse ein.;Deutliche Verbesserung;Leichte Verbesserung;Mir ist bewusst, dass KI-Ergebnisse ungenau, fehlerhaft oder biased sein können, ich überprüfe manche Antworten ohne KI Unterstützung.;;"Datensicherheit;Fehlerrate der Modelle;Erzeugung von präziseren und treffsicheren Antworten;";Grundlegende Richtlinien sind mir bekannt, aber ich wende sie nicht immer konsequent an.;Bisher weder noch erkennbar;Erste Produktivversion im Einsatz, iterative Weiterentwicklung;Mangel an qualifiziertem Personal und Know-how;Kann ich nicht einschätzen
18;IT-Consulting;Konzern (über 5000 Mitarbeiter);Dienstleistungen, IT & Beratung;Gar nicht;;;;;;;Ich habe sie ausprobiert und finde sie nicht gut.;"Erzeugung von präziseren und treffsicheren Antworten;Kosten;Datensicherheit;Fehlerrate der Modelle;Kontextmanagement (Projektdaten, persönliche Daten, Unternehmensdaten);";Ich bin mit den wichtigsten Regelungen vertraut und setze diese besten Gewissens um.;Als Effizienzhebel (Kostensenkung, Prozessoptimierung);In Konzeption oder Entwicklung;Unklarer Business Case / ROI-Nachweis;Hybridansatz aus großen und spezialisierten Modellen
19;Operations (DevOps, Platform Engineering, IT-Admin);Konzern (über 5000 Mitarbeiter);Dienstleistungen, IT & Beratung;Gar nicht;;;;;;;Bisher nicht nötig;"Benutzbarkeit (UI/UX);";Ich kenne die gesetzlichen Rahmenbedingungen (z.B. DSGVO, EU-AI-Act) und achte konsequent auf deren Einhaltung.;Bisher weder noch erkennbar;In Konzeption oder Entwicklung;Fehlende Datenqualität und -verfügbarkeit;Kann ich nicht einschätzen
20;Operations (DevOps, Platform Engineering, IT-Admin);Konzern (über 5000 Mitarbeiter);Dienstleistungen, IT & Beratung;Wöchentlich;"Recherche und Wissensvermittlung;Softwareentwicklung ;Testfallerstellung;Bugfixing;";"Lokale OpenSource Modelle (z.B. Llama, DeepSeek, Gemma, Mistral, Phi, qwen o.a.);Andere cloudbasierte Modelle/Tools;Microsoft Copilot;";Ich nutze verschiedene Modelle und Prompting-Methoden und setze diese gezielt für bessere Ergebnisse ein.;Leichte Verbesserung;Deutliche Verbesserung;Ich überprüfe jede Antwort mit eigener Recherche oder eigenem Wissen.;;"Benutzbarkeit (UI/UX);Kontextmanagement (Projektdaten, persönliche Daten, Unternehmensdaten);Datensicherheit;";Ich bin mit den wichtigsten Regelungen vertraut und setze diese besten Gewissens um.;Gleichermaßen beides;Prototyp vorhanden, weitere Entwicklung erforderlich;Mangel an qualifiziertem Personal und Know-how;Kann ich nicht einschätzen
21;IT-Consulting;Großes Unternehmen (251-5000 Mitarbeiter);Dienstleistungen, IT & Beratung;Wöchentlich;"Recherche und Wissensvermittlung;Texterstellung (Dokumentation, Berichte, Anforderungen);Bildgenerierung;";"OpenAI ChatGPT;Andere cloudbasierte Modelle/Tools;";Ich nutze einfache Prompts, um mir grundlegende Aufgaben zu erleichtern.;Leichte Verbesserung;Deutliche Verbesserung;Mir ist bewusst, dass KI-Ergebnisse ungenau, fehlerhaft oder biased sein können, ich überprüfe manche Antworten ohne KI Unterstützung.;;"Datensicherheit;Erzeugung von präziseren und treffsicheren Antworten;Mehr Integration (Email, Terminkalender, Office Tools);Kontextmanagement (Projektdaten, persönliche Daten, Unternehmensdaten);";Ich bin mit den wichtigsten Regelungen vertraut und setze diese besten Gewissens um.;Gleichermaßen beides;Erste Produktivversion im Einsatz, iterative Weiterentwicklung;Integration in bestehende IT-Systeme;Hybridansatz aus großen und spezialisierten Modellen
22;Sonstiges;Konzern (über 5000 Mitarbeiter);Dienstleistungen, IT & Beratung;Täglich;"Recherche und Wissensvermittlung;Texterstellung (Dokumentation, Berichte, Anforderungen);Softwareentwicklung ;Bugfixing;";"Google Gemini;OpenAI ChatGPT;Lokale OpenSource Modelle (z.B. Llama, DeepSeek, Gemma, Mistral, Phi, qwen o.a.);Microsoft Copilot;";Ich nutze erweiterte Funktionen (z.B. Automatisierungen, eigene Workflows), um meine Aufgaben zu lösen.;Deutliche Verbesserung;Deutliche Verbesserung;Mir ist bewusst, dass KI-Ergebnisse ungenau, fehlerhaft oder biased sein können, ich überprüfe manche Antworten ohne KI Unterstützung.;;"Benutzbarkeit (UI/UX);Datensicherheit;Kosten;Kontextmanagement (Projektdaten, persönliche Daten, Unternehmensdaten);";Ich bin mit den wichtigsten Regelungen vertraut und setze diese besten Gewissens um.;Gleichermaßen beides;Erste Produktivversion im Einsatz, iterative Weiterentwicklung;Mangel an qualifiziertem Personal und Know-how;Hybridansatz aus großen und spezialisierten Modellen
23;IT-Consulting;Großes Unternehmen (251-5000 Mitarbeiter);Handel & E-Commerce;Wöchentlich;"Recherche und Wissensvermittlung;";"Microsoft Copilot;Anthrophic Claude;";Ich nutze erweiterte Funktionen (z.B. Automatisierungen, eigene Workflows), um meine Aufgaben zu lösen.;Leichte Verbesserung;Leichte Verbesserung;Ich überprüfe jede Antwort mit eigener Recherche oder eigenem Wissen.;;"Mehr Integration (Email, Terminkalender, Office Tools);Kontextmanagement (Projektdaten, persönliche Daten, Unternehmensdaten);Benutzbarkeit (UI/UX);Datensicherheit;Kosten;";Ich kenne die gesetzlichen Rahmenbedingungen (z.B. DSGVO, EU-AI-Act) und achte konsequent auf deren Einhaltung.;Als Effizienzhebel (Kostensenkung, Prozessoptimierung);In Konzeption oder Entwicklung;Unklarer Business Case / ROI-Nachweis;Spezialisierte, kleinere Modelle für spezifische Aufgaben
24;Support & Service;Großes Unternehmen (251-5000 Mitarbeiter);Energie & Versorgung;Selten;"Recherche und Wissensvermittlung;";"Google Gemini;OpenAI ChatGPT;";Ich nutze einfache Prompts, um mir grundlegende Aufgaben zu erleichtern.;Leichte Verbesserung;Deutliche Verbesserung;Ich überprüfe jede Antwort mit eigener Recherche oder eigenem Wissen.;;"Fehlerrate der Modelle;";Ich kenne die gesetzlichen Rahmenbedingungen (z.B. DSGVO, EU-AI-Act) und achte konsequent auf deren Einhaltung.;Als Effizienzhebel (Kostensenkung, Prozessoptimierung);In Konzeption oder Entwicklung;Integration in bestehende IT-Systeme;Spezialisierte, kleinere Modelle für spezifische Aufgaben
25;Operations (DevOps, Platform Engineering, IT-Admin);Großes Unternehmen (251-5000 Mitarbeiter);Dienstleistungen, IT & Beratung;Selten;"Recherche und Wissensvermittlung;Bildgenerierung;";"OpenAI ChatGPT;";Ich habe GenAI-Tools wie ChatGPT lediglich ausprobiert.;Keine Änderung;Keine Einschätzung möglich;Mir ist bewusst, dass KI-Ergebnisse ungenau, fehlerhaft oder biased sein können, ich überprüfe manche Antworten ohne KI Unterstützung.;;"Benutzbarkeit (UI/UX);Datensicherheit;Fehlerrate der Modelle;Erzeugung von präziseren und treffsicheren Antworten;Mehr Integration (Email, Terminkalender, Office Tools);";Ich kenne die gesetzlichen Rahmenbedingungen (z.B. DSGVO, EU-AI-Act) und achte konsequent auf deren Einhaltung.;Bisher weder noch erkennbar;Erste Produktivversion im Einsatz, iterative Weiterentwicklung;Integration in bestehende IT-Systeme;Spezialisierte, kleinere Modelle für spezifische Aufgaben
26;Sonstiges;Konzern (über 5000 Mitarbeiter);Dienstleistungen, IT & Beratung;Gar nicht;;;;;;;Ich habe sie einfach noch nicht ausprobiert.;"Erzeugung von präziseren und treffsicheren Antworten;";Ich bin mit den wichtigsten Regelungen vertraut und setze diese besten Gewissens um.;Gleichermaßen beides;In Konzeption oder Entwicklung;Integration in bestehende IT-Systeme;Kann ich nicht einschätzen
27;Operations (DevOps, Platform Engineering, IT-Admin);Konzern (über 5000 Mitarbeiter);Dienstleistungen, IT & Beratung;Gar nicht;;;;;;;Ich habe sie ausprobiert und finde sie nicht gut.;"Erzeugung von präziseren und treffsicheren Antworten;Fehlerrate der Modelle;";Mir ist bewusst, dass Datenschutz wichtig ist, aber ich kenne keine konkreten Regeln.;Bisher weder noch erkennbar;In Konzeption oder Entwicklung;Fehlende Datenqualität und -verfügbarkeit;Kann ich nicht einschätzen
28;Support & Service;Konzern (über 5000 Mitarbeiter);Dienstleistungen, IT & Beratung;Selten;"Recherche und Wissensvermittlung;";"Microsoft Copilot;";Ich habe GenAI-Tools wie ChatGPT lediglich ausprobiert.;Keine Änderung;Leichte Verbesserung;Mir ist bewusst, dass KI-Ergebnisse ungenau, fehlerhaft oder biased sein können, ich überprüfe manche Antworten ohne KI Unterstützung.;;"Datensicherheit;Fehlerrate der Modelle;Erzeugung von präziseren und treffsicheren Antworten;Kontextmanagement (Projektdaten, persönliche Daten, Unternehmensdaten);";Ich bin mit den wichtigsten Regelungen vertraut und setze diese besten Gewissens um.;Als Effizienzhebel (Kostensenkung, Prozessoptimierung);Erste Produktivversion im Einsatz, iterative Weiterentwicklung;Integration in bestehende IT-Systeme;Spezialisierte, kleinere Modelle für spezifische Aufgaben
29;Support & Service;Konzern (über 5000 Mitarbeiter);Dienstleistungen, IT & Beratung;Gar nicht;;;;;;;Ich benötige sie für mein Aufgabengebiet nicht;"Fehlerrate der Modelle;Mehr Integration (Email, Terminkalender, Office Tools);";Ich bin mit den wichtigsten Regelungen vertraut und setze diese besten Gewissens um.;Gleichermaßen beides;In Konzeption oder Entwicklung;Unklare Governance und regulatorische Unsicherheit;Kann ich nicht einschätzen
30;Entwicklung & Architektur (Software, Data Science, KI, Systemarchitektur);Großes Unternehmen (251-5000 Mitarbeiter);Energie & Versorgung;Täglich;"Recherche und Wissensvermittlung;Texterstellung (Dokumentation, Berichte, Anforderungen);Softwareentwicklung ;";"Anthrophic Claude;OpenAI ChatGPT;";Ich nutze verschiedene Modelle und Prompting-Methoden und setze diese gezielt für bessere Ergebnisse ein.;Deutliche Verbesserung;Deutliche Verbesserung;Ich überprüfe jede Antwort mit eigener Recherche oder eigenem Wissen.;;"Kosten;Kontextmanagement (Projektdaten, persönliche Daten, Unternehmensdaten);Benutzbarkeit (UI/UX);";Ich bin mit den wichtigsten Regelungen vertraut und setze diese besten Gewissens um.;Als Wachstumstreiber (neue Produkte, Märkte, Umsatzpotenziale);Erste Produktivversion im Einsatz, iterative Weiterentwicklung;Integration in bestehende IT-Systeme;Mehrere große Modelle in Kombination
31;Management (Projekt, Produkt, Führung);Großes Unternehmen (251-5000 Mitarbeiter);Dienstleistungen, IT & Beratung;Wöchentlich;"Recherche und Wissensvermittlung;Texterstellung (Dokumentation, Berichte, Anforderungen);";"OpenAI ChatGPT;";Ich nutze einfache Prompts, um mir grundlegende Aufgaben zu erleichtern.;Leichte Verbesserung;Keine Änderung;Ich überprüfe jede Antwort mit eigener Recherche oder eigenem Wissen.;;"Datensicherheit;";Ich bin mit den wichtigsten Regelungen vertraut und setze diese besten Gewissens um.;Als Effizienzhebel (Kostensenkung, Prozessoptimierung);In Konzeption oder Entwicklung;Unklare Governance und regulatorische Unsicherheit;Kann ich nicht einschätzen
